t_CATEGORY, t_MANUFACTURE                       , t_BRAND                 , t_ITEMDESC                                                                 , t_MRP, t_PACKSIZE, t_PACKTYPE, rank, matched_itemcode, distance            , m_catcode, m_company                          , m_mbrand              , m_brand                  , m_sku                 , m_packtype, m_base_pack, m_flavor    , m_color, m_wght , m_uom, m_mrp
       105, SURYA NEPAL PVT LTD - NEPAL         , SURYA FUSION            , SURYA FUSION/HL/20NOS/MRP320                                               , 320.0, 20 NOS    , KS        ,    1,         99765321,  86.92125701904297  ,       105, SURYA NEPAL PVT LTD - NEPAL        , SURYA                 , SURYA FUSION             , HL 20'S               , HL        , 20         , FULL FLAVOUR,        ,   20.0 , NO   , 320.0
       105, SURYA NEPAL PVT LTD - NEPAL         , SURYA FUSION            , SURYA FUSION\20\NOSE\RS320                                                 , 320.0, 20 NOSE   , KFT       ,    1,         99765321, 119.0645523071289   ,       105, SURYA NEPAL PVT LTD - NEPAL        , SURYA                 , SURYA FUSION             , HL 20'S               , HL        , 20         , FULL FLAVOUR,        ,   20.0 , NO   , 320.0
       105, SURYA NEPAL PVT. LTD.               , SURYA FUSION            , SURYA FUSION-SURYA NEPAL-20-STICK-HL                                       , 320.0, 20        , HL        ,    1,         99765321,  67.08244323730469  ,       105, SURYA NEPAL PVT LTD - NEPAL        , SURYA                 , SURYA FUSION             , HL 20'S               , HL        , 20         , FULL FLAVOUR,        ,   20.0 , NO   , 320.0
       118, MANAKAMANA FRUIT & BEVERAGE-NP      , NIMBU FRESH             , NIMBU FRESH-LEMON-LEMON PET 1500ML                                         , 190.0, 1500ML    , PET       ,    1,         99765325,   8.284063339233398 ,       118, MANAKAMANA FRUIT & BEVERAGE-NP     , NIMBU FRESH           , NIMBU FRESH              , LEMON PET 1500 ML     , PET       , 1500.000 ML, LEMON       ,        , 1500.0 , ML   , 190.0
       118, SINGAPORE BEVERAGE-NEPAL            , LEMONZAAAAA NIMBU PANI  , LEMONZAAAAA NIMBU PANI-LEMON PET 1500ML                                    , 190.0, 1500 ML   , PET       ,    1,         99765324,   7.4687113761901855,       118, SINGAPORE BEVERAGE-NEPAL           , LEMONZAAAAA NIMBU PANI, LEMONZAAAAA NIMBU PANI   , LEMON PET 1500 ML     , PET       , 1500.000 ML, LEMON       ,        , 1500.0 , ML   , 190.0
       124, DEUTI GUTKHA INDUSTRIES             , MEGHA SHREE PREMIUM     , MEGHA SHREE PREMIUM GUTKHA 2.20G                                           ,   5.0, 2.20G     , PPH       ,    1,         99765326,  42.76514434814453  ,       124, DEUTI GUTKHA INDUSTRIES            , MEGHA SHREE           , MEGHA SHREE PREMIUM      , 2.20G GUTKA           , PLAST     , 2.20G      , REGULAR     ,        ,    2.2 , GM   ,   5.0
       124, DEUTI GUTKHA INDUSTRIES             , MEGHA SHREE PREMIUM     , MEGHA SHREE PREMIUM-MEGHA SHREE-REGULAR-PPH 2.20GM                         ,   5.0, 2.20GM    , PPH       ,    1,         99765326,  48.8976936340332   ,       124, DEUTI GUTKHA INDUSTRIES            , MEGHA SHREE           , MEGHA SHREE PREMIUM      , 2.20G GUTKA           , PLAST     , 2.20G      , REGULAR     ,        ,    2.2 , GM   ,   5.0
       124, DEUTI GUTKHA INDUSTRIES             , MEGHA SHREE PREMIUM     , MEGHA SHREE PREMIUM\2.20GM\PPHRS:5\DEUTI GUTKHA INDUSTRIES NEPAL           ,   5.0, 2.20GM    , PPH       ,    1,         99765326,  65.26322174072266  ,       124, DEUTI GUTKHA INDUSTRIES            , MEGHA SHREE           , MEGHA SHREE PREMIUM      , 2.20G GUTKA           , PLAST     , 2.20G      , REGULAR     ,        ,    2.2 , GM   ,   5.0
       124, DEUTI GUTKHA INDUSTRIES             , MEGHA SHREE PREMIUM     , PREMIUM MEGHA SHREE/DEUTI GUTKHA INDUSTRIES/PPH/2GM                        ,   5.0, 2GM       , PPH       ,    6,         99762273, 157.3665008544922   ,       124, SHREE MEENAKSHI PRODUCTS NEPAL     , GOA                   , GOA PREMIUM 1000         , 2G GUTKA              , PLAST     , 2G         , REGULAR     ,        ,    2.0 ,      ,   0.0
       124, VIKAS CHEMICALS NEPAL               , SHUDH PLUS              , SHUDH PLUS GUTKHA PPH 2G                                                   ,   5.0, 2G        , PPH       ,    1,         99765327,  34.376800537109375 ,       124, VIKAS CHEMICALS-NEPAL              , SHUDH PLUS            , SHUDH PLUS               , 2G GUTKA              , PLAST     , 2G         , REGULAR     ,        ,    2.0 , GM   ,   5.0
