itemcode,catcode,category,subcat,ssubcat,company,mbrand,brand,sku,packtype,base_pack,multipack,flavor,color,wght,uom,hpkcnv,msu,launchdate,qty,mrp,status,factcode,activeitem,active,nepalcomm,flag,audittype,price_seg,filter_seg,DELYM
20110046,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,VARUN BEVERAGE -NEPAL,7 UP,7 UP,CAN 330 ML,CAN,330.000 ML, ,LEMON,,330,ML,0,0,0,330,0,,,N,INACTIVE,INACTIVE FROM APRIL 2024,4,2,,,202404
51446,106,CONFECTIONERY-NP,CHEWING GUMS,CHEWING GUMS,PERFETTI VAN MELLE-INDIA,CENTER FRESH,CENTER FRESH,CENTER FRESH-XTRA FRESH COOL EWP 20 GM,EWRPK,20.000 GM, ,UNSPECIFIED,,20,GM,0,0,201902,20,0,,,Y,ACTIVE,,0,1,,,
51569,106,CONFECTIONERY-NP,HARD BOILED CANDIES,HARD BOILED CANDIES,AMBEY SHAKTI FOODS-INDIA,MILDEN,MILDEN,MILDEN-COCONUT CANDY PPH 3 GM,PLPCH,3.000 GM, ,COCONUT,,3,GM,0,0,201902,3,0,,,Y,ACTIVE,,0,1,,,
51570,106,CONFECTIONERY-NP,TOFFEES,TOFFEES,SUJAL FOODS PVT LTD-NEPAL,SUJAL,SUJAL LACTO FUN,SUJAL LACTO FUN-CRUNCH CARAMEL PPH 4 GM,PLPCH,4.000 GM, ,CARAMEL,,4,GM,0,0,201902,4,0,,,Y,ACTIVE,,0,1,,,
52644,106,CONFECTIONERY-NP,LOLLIPOPS,LOLLIPOPS,DUKES PRODUCTS-INDIA,POP N POP,POP N POP LOLLIPOP,POP N POP LOLLIPOP-ORANGE EWP 10 GM,EWRPK,10.000 GM, ,ORANGE,,10,GM,0,0,201906,10,0,,,Y,ACTIVE,,0,1,,,
52645,106,CONFECTIONERY-NP,LOLLIPOPS,LOLLIPOPS,DUKES PRODUCTS-INDIA,POP N POP,POP N POP LOLLIPOP,POP N POP LOLLIPOP-LYCHEE EWP 10 GM,EWRPK,10.000 GM, ,LYCHEE,,10,GM,0,0,201906,10,0,,,Y,ACTIVE,,0,1,,,
52646,106,CONFECTIONERY-NP,LOLLIPOPS,LOLLIPOPS,DUKES PRODUCTS-INDIA,POP N POP,POP N POP LOLLIPOP,POP N POP LOLLIPOP-MANGO EWP 10 GM,EWRPK,10.000 GM, ,MANGO,,10,GM,0,0,201906,10,0,,,Y,ACTIVE,,0,1,,,
52647,106,CONFECTIONERY-NP,LOLLIPOPS,LOLLIPOPS,DUKES PRODUCTS-INDIA,POP N POP,POP N POP LOLLIPOP,POP N POP LOLLIPOP-MIXED FRUIT EWP 10 GM,EWRPK,10.000 GM, ,MIXED FRUIT,,10,GM,0,0,201906,10,0,,,Y,ACTIVE,,0,1,,,
53643,106,CONFECTIONERY-NP,LOLLIPOPS,LOLLIPOPS,LOTTE INDIA-INDIA,LOTTE,LOTTE FRUITZ,LOTTE FRUITZ-LOLLIPOP BLUEBERRY EWP 10 GM,EWRPK,10.000 GM, ,BLUEBERRY,,10,GM,0,0,201910,10,0,,,Y,ACTIVE,,0,1,,,
53644,106,CONFECTIONERY-NP,LOLLIPOPS,LOLLIPOPS,LOTTE INDIA-INDIA,LOTTE,LOTTE FRUITZ,LOTTE FRUITZ-LOLLIPOP STRAWBERRY EWP 10 GM,EWRPK,10.000 GM, ,STRAWBERRY,,10,GM,0,0,201910,10,0,,,Y,ACTIVE,,0,1,,,
